id,first_name,last_name,shirtsize,Adm2 Pcode,language,age,income,year,district
1,Nikoletta,Haliday,M,RW27,Malay,19,196522.12,2015,Muhanga
2,Templeton,Jamblin,S,RW33,Finnish,65,453325.22,2015,Rubavu
3,Moyna,Allberry,XS,RW25,New Zealand Sign Language,100,196448.67,2015,Nyamagabe
4,Millie,Getch,XL,RW11,Italian,64,319659.78,2015,Nyarugenge
5,Erik,Trowle,3XL,RW21,Somali,62,380288.57,2015,Nyanza
6,Niles,Petche,S,RW52,Hindi,23,10298.01,2015,Nyagatare
7,Illa,Hanwright,L,RW22,Khmer,71,12054.61,2015,Gisagara
8,Lucy,Walkley,2XL,RW26,Chinese,60,451579.18,2015,Ruhango
9,Derron,McDarmid,XS,RW34,Lao,3,426728.8,2015,Nyabihu
10,Liliane,Creeghan,L,RW45,Azeri,14,486535.71,2015,Gicumbi
11,Alick,Antoshin,XL,RW42,Swahili,87,770732.93,2015,Gakenke
12,Cathy,Spuffard,L,RW25,Moldovan,5,952421.12,2015,Nyamagabe
13,Ellyn,Roberto,M,RW23,Indonesian,84,210544.31,2015,Nyaruguru
14,Walther,Tunny,2XL,RW33,Hindi,32,144352.46,2015,Rubavu
15,Kippar,Melton,2XL,RW26,Dzongkha,16,449809.72,2015,Ruhango
16,Marcus,Scimonelli,XS,RW37,Sotho,96,353257.75,2015,Nyamasheke
17,Ofilia,Bewshaw,XL,RW51,Swedish,48,903883.05,2015,Rwamagana
18,Hy,de la Tremoille,XL,RW32,Norwegian,65,579420.76,2015,Rutsiro
19,Nicola,Behnecke,3XL,RW11,Assamese,55,677605.81,2015,Nyarugenge
20,Deeanne,Grishukov,XS,RW24,Belarusian,94,386092.6,2015,Huye
21,Bobbette,Szymonowicz,L,RW37,Romanian,12,56330.12,2015,Nyamasheke
22,Morganica,Toby,L,RW21,Korean,58,417434.51,2015,Nyanza
23,Lew,Dufour,M,RW12,Hebrew,86,418649.25,2015,Gasabo
24,Clement,Holworth,S,RW33,Danish,26,747140.85,2015,Rubavu
25,Jan,Birwhistle,XS,RW12,Sotho,31,558293.86,2015,Gasabo
26,Eloisa,Chucks,S,RW37,Dari,79,303725.71,2015,Nyamasheke
27,Jilly,Bedell,M,RW36,Dhivehi,21,537961.96,2015,Rusizi
28,Rad,Avramovich,2XL,RW42,Albanian,42,46104.63,2015,Gakenke
29,Glen,Danniel,2XL,RW31,Catalan,14,559447.58,2015,Karongi
30,Rozalie,Areles,XS,RW41,Aymara,53,181998.62,2015,Rulindo
31,Erminie,Penwright,L,RW26,Yiddish,89,336252.69,2015,Ruhango
32,Caty,Breitler,XS,RW32,Tswana,54,505426.36,2015,Rutsiro
33,Annadiana,Lowater,2XL,RW56,Norwegian,33,169959.57,2015,Ngoma
34,Alexandra,Jados,XS,RW57,Finnish,37,245784.6,2015,Bugesera
35,Scot,Frontczak,2XL,RW24,Malay,55,457787.09,2015,Huye
36,Romonda,Scarr,S,RW34,Georgian,22,294466.36,2015,Nyabihu
37,Fawn,Bantham,3XL,RW57,Dutch,27,679108.63,2015,Bugesera
38,Terra,Alessandrini,L,RW24,Hungarian,64,57911.87,2015,Huye
39,Delaney,Iacobassi,M,RW23,Oriya,79,204963.88,2015,Nyaruguru
40,Brigida,Dreghorn,M,RW25,Hiri Motu,52,676259.49,2015,Nyamagabe
41,Malissia,Pendrich,2XL,RW35,Chinese,89,866100.42,2015,Ngororero
42,Nikolaos,Altham,3XL,RW53,Icelandic,64,821177.66,2015,Gatsibo
43,Gar,Standering,3XL,RW56,Kurdish,62,618931.1,2015,Ngoma
44,Bidget,Stitt,L,RW52,Kurdish,30,270348.61,2015,Nyagatare
45,Zsazsa,Buttrum,M,RW28,Papiamento,28,960475.42,2015,Kamonyi
46,Waiter,Seel,3XL,RW32,Hebrew,25,12397.18,2015,Rutsiro
47,Mariann,Duggen,XL,RW55,Czech,40,642090.04,2015,Kirehe
48,Sandy,Beevor,XS,RW41,Malagasy,47,808016.24,2015,Rulindo
49,Marylee,Sizey,XL,RW37,Dhivehi,32,699360.2,2015,Nyamasheke
50,Lynnet,Dutson,2XL,RW24,Tajik,5,426943,2015,Huye
